process_id,regions,commission_years,time_slice,limits
act_advanced,UK,all,annual,..0.5359881322989463
act_chp,UK,all,annual,..0.5359881322989463
act_standard,UK,all,annual,..0.5359881322989463
ad,UK,all,annual,..0.32526317931353455
ad_chp,UK,all,annual,..0.32526317931353455
biomass_chp,UK,all,annual,..0.5359881322989463
ccgt_chp_mode,UK,all,annual,..0.32526317931353455
coal_conventional_steam,UK,all,annual,..0.1280869075963532
dedicated_biomass,UK,all,annual,..0.5359881322989463
efw,UK,all,annual,..0.5359881322989463
efw_chp,UK,all,annual,..0.5359881322989463
geothermal_chp,UK,all,annual,..0.5359881322989463
hydro,UK,all,annual,..0.32964459974032584
hydrogen_ccgt,UK,all,annual,..0.32526317931353455
landfill_gas,UK,all,annual,..0.32526317931353455
natural_gas_ccgt,UK,all,annual,..0.32526317931353455
natural_gas_ocgt,UK,all,annual,..0.32526317931353455
natural_gas_recip,UK,all,annual,..0.32526317931353455
nuclear_agr,UK,all,annual,..0.676731760831413
nuclear_pwr,UK,all,annual,..0.676731760831413
oil_recip,UK,all,annual,..0.18835806230056729
sewage_gas,UK,all,annual,..0.32526317931353455
solar_pv,UK,all,winter.night,..0.0
solar_pv,UK,all,winter.day,..0.0719215815412186
solar_pv,UK,all,winter.evening_peak,..0.0
solar_pv,UK,all,winter.late_evening,..0.0
solar_pv,UK,all,spring.night,..0.0003566308243727
solar_pv,UK,all,spring.day,..0.209255840053763
solar_pv,UK,all,spring.evening_peak,..0.0019243130227001
solar_pv,UK,all,spring.late_evening,..0.0
solar_pv,UK,all,summer.night,..0.0066902073732718
solar_pv,UK,all,summer.day,..0.312485304659498
solar_pv,UK,all,summer.evening_peak,..0.0192410394265233
solar_pv,UK,all,summer.late_evening,..0.0
solar_pv,UK,all,autumn.night,..0.0006404569892473
solar_pv,UK,all,autumn.day,..0.23948336469534
solar_pv,UK,all,autumn.evening_peak,..0.0035381571087216
solar_pv,UK,all,autumn.late_evening,..0.0
tidal_stream_energy,UK,all,annual,..0.1852692711549728
wave,UK,all,annual,..0.1852692711549728
wind_offshore,UK,all,winter.night,..0.453584799437016
wind_offshore,UK,all,winter.day,..0.506503026038001
wind_offshore,UK,all,winter.evening_peak,..0.470384236453202
wind_offshore,UK,all,winter.late_evening,..0.459884588318086
wind_offshore,UK,all,spring.night,..0.29159022820951
wind_offshore,UK,all,spring.day,..0.456104714989444
wind_offshore,UK,all,spring.evening_peak,..0.424185784658691
wind_offshore,UK,all,spring.late_evening,..0.308689655172414
wind_offshore,UK,all,summer.night,..0.167394390268423
wind_offshore,UK,all,summer.day,..0.326329064039409
wind_offshore,UK,all,summer.evening_peak,..0.31918930330753
wind_offshore,UK,all,summer.late_evening,..0.18899366643209
wind_offshore,UK,all,autumn.night,..0.327589021815623
wind_offshore,UK,all,autumn.day,..0.429645601688951
wind_offshore,UK,all,autumn.evening_peak,..0.369587614356087
wind_offshore,UK,all,autumn.late_evening,..0.340188599577762
wind_offshore_floating,UK,all,annual,..0.1852692711549728
wind_onshore,UK,all,winter.night,..0.321035890218156
wind_onshore,UK,all,winter.day,..0.358490077410274
wind_onshore,UK,all,winter.evening_peak,..0.332926108374384
wind_onshore,UK,all,winter.late_evening,..0.325494722026742
wind_onshore,UK,all,spring.night,..0.206380215140243
wind_onshore,UK,all,spring.day,..0.32281942294159
wind_onshore,UK,all,spring.evening_peak,..0.300228008444757
wind_onshore,UK,all,spring.late_evening,..0.21848275862069
wind_onshore,UK,all,summer.night,..0.118477530913843
wind_onshore,UK,all,summer.day,..0.230967487684729
wind_onshore,UK,all,summer.evening_peak,..0.225914144968332
wind_onshore,UK,all,summer.late_evening,..0.133764954257565
wind_onshore,UK,all,autumn.night,..0.231859254046446
wind_onshore,UK,all,autumn.day,..0.304092329345531
wind_onshore,UK,all,autumn.evening_peak,..0.261584799437016
wind_onshore,UK,all,autumn.late_evening,..0.240776917663617
