id,description,type,time_slice_level,units
CO2e,CO2e,OTH,daynight,Mt
ad_biogas,ad_biogas,OTH,daynight,PJ
coa,coa,OTH,daynight,PJ
diesel_pwr,diesel_pwr,OTH,daynight,PJ
elec,elec,SVD,daynight,PJ
geothermal,geothermal,OTH,daynight,PJ
hydro,hydro,OTH,daynight,PJ
hyg_pwr,hyg_pwr,OTH,daynight,PJ
inorgwaste,inorgwaste,OTH,daynight,PJ
lfgas,lfgas,OTH,daynight,PJ
nga,nga,OTH,daynight,PJ
nuclear,nuclear,OTH,daynight,PJ
offshore_wind,offshore_wind,OTH,daynight,PJ
onshore_wind,onshore_wind,OTH,daynight,PJ
pltbiom,pltbiom,OTH,daynight,PJ
solar,solar,OTH,daynight,PJ
swggas,swggas,OTH,daynight,PJ
tidal,tidal,OTH,daynight,PJ
wave,wave,OTH,daynight,PJ
