process_id,commodity_id,regions,commission_years,coeff,type
act_advanced,elec,UK,all,1.0,fixed
act_advanced,pltbiom,UK,all,-0.22,fixed
act_chp,elec,UK,all,1.0,fixed
act_chp,pltbiom,UK,all,-1.0,fixed
act_standard,elec,UK,all,1.0,fixed
act_standard,pltbiom,UK,all,-0.19,fixed
ad,ad_biogas,UK,all,-1.0,fixed
ad,elec,UK,all,1.0,fixed
ad_chp,ad_biogas,UK,all,-1.0,fixed
ad_chp,elec,UK,all,1.0,fixed
biomass_chp,elec,UK,all,1.0,fixed
biomass_chp,pltbiom,UK,all,-0.21,fixed
ccgt_chp_mode,CO2e,UK,all,0.050813590604026855,fixed
ccgt_chp_mode,elec,UK,all,1.0,fixed
ccgt_chp_mode,nga,UK,all,-0.33,fixed
coal_conventional_steam,CO2e,UK,all,0.08815904958985833,fixed
coal_conventional_steam,coa,UK,all,-0.32,fixed
coal_conventional_steam,elec,UK,all,1.0,fixed
dedicated_biomass,elec,UK,all,1.0,fixed
dedicated_biomass,pltbiom,UK,all,-0.34,fixed
efw,elec,UK,all,1.0,fixed
efw,inorgwaste,UK,all,-0.28,fixed
efw_chp,elec,UK,all,1.0,fixed
efw_chp,inorgwaste,UK,all,-0.24,fixed
geothermal_chp,elec,UK,all,1.0,fixed
geothermal_chp,geothermal,UK,all,-1.0,fixed
hydro,elec,UK,all,1.0,fixed
hydro,hydro,UK,all,-1.0,fixed
hydrogen_ccgt,elec,UK,all,1.0,fixed
hydrogen_ccgt,hyg_pwr,UK,..2025,-0.48,fixed
hydrogen_ccgt,hyg_pwr,UK,2030,-0.48,fixed
hydrogen_ccgt,hyg_pwr,UK,2035,-0.48,fixed
hydrogen_ccgt,hyg_pwr,UK,2040,-0.53,fixed
landfill_gas,elec,UK,all,1.0,fixed
landfill_gas,lfgas,UK,all,-1.0,fixed
natural_gas_ccgt,CO2e,UK,all,0.050813590604026855,fixed
natural_gas_ccgt,elec,UK,all,1.0,fixed
natural_gas_ccgt,nga,UK,all,-0.53,fixed
natural_gas_ocgt,CO2e,UK,all,0.050813590604026855,fixed
natural_gas_ocgt,elec,UK,all,1.0,fixed
natural_gas_ocgt,nga,UK,all,-0.35,fixed
natural_gas_recip,CO2e,UK,all,0.050813590604026855,fixed
natural_gas_recip,elec,UK,all,1.0,fixed
natural_gas_recip,nga,UK,all,-0.32,fixed
nuclear_agr,elec,UK,all,1.0,fixed
nuclear_agr,nuclear,UK,all,-0.32,fixed
nuclear_pwr,elec,UK,all,1.0,fixed
nuclear_pwr,nuclear,UK,all,-0.32,fixed
oil_recip,CO2e,UK,all,0.06997973079791202,fixed
oil_recip,diesel_pwr,UK,all,-0.34,fixed
oil_recip,elec,UK,all,1.0,fixed
sewage_gas,elec,UK,all,1.0,fixed
sewage_gas,swggas,UK,all,-1.0,fixed
solar_pv,elec,UK,all,1.0,fixed
solar_pv,solar,UK,all,-1.0,fixed
tidal_stream_energy,elec,UK,all,1.0,fixed
tidal_stream_energy,tidal,UK,all,-1.0,fixed
wave,elec,UK,all,1.0,fixed
wave,wave,UK,all,-1.0,fixed
wind_offshore,elec,UK,all,1.0,fixed
wind_offshore,offshore_wind,UK,all,-1.0,fixed
wind_offshore_floating,elec,UK,all,1.0,fixed
wind_offshore_floating,offshore_wind,UK,all,-1.0,fixed
wind_onshore,elec,UK,all,1.0,fixed
wind_onshore,onshore_wind,UK,all,-1.0,fixed
