process_id,commission_year,max_decommission_year,region_id,agent_id,capacity
wind_onshore,2010,2036,UK,power_agent,11.6020944
wind_onshore,2011,2037,UK,power_agent,26.60629248
wind_onshore,2012,2038,UK,power_agent,27.74284992
wind_onshore,2013,2039,UK,power_agent,42.898420800000004
wind_onshore,2014,2040,UK,power_agent,11.86258176
wind_onshore,2015,2041,UK,power_agent,11.0155248
wind_onshore,2016,2042,UK,power_agent,43.371492336
wind_onshore,2017,2043,UK,power_agent,39.950120160000004
wind_onshore,2018,2044,UK,power_agent,23.645692800000003
wind_onshore,2019,2045,UK,power_agent,8.0826768
wind_onshore,2020,2046,UK,power_agent,3.027456
wind_onshore,2021,2047,UK,power_agent,10.0489464
wind_onshore,2022,2048,UK,power_agent,1.10376
wind_onshore,2023,2049,UK,power_agent,10.2397392
wind_onshore,2024,2050,UK,power_agent,2.1192192000000003
