process_id,regions,commission_years,time_slice,limits
GASDRV,all,all,annual,..0.9
GASPRC,all,all,annual,..0.9
BIOPLL,all,all,annual,..0.95
GASCGT,all,all,annual,..0.9
WNDFRM,all,all,winter.night,..0.486418015
WNDFRM,all,all,winter.day,..0.543166784
WNDFRM,all,all,winter.peak,..0.504433498
WNDFRM,all,all,winter.evening,..0.493173821
WNDFRM,all,all,peak.night,..0.312697296
WNDFRM,all,all,peak.day,..0.489120338
WNDFRM,all,all,peak.peak,..0.454890922
WNDFRM,all,all,peak.evening,..0.331034483
WNDFRM,all,all,summer.night,..0.17951141
WNDFRM,all,all,summer.day,..0.349950739
WNDFRM,all,all,summer.peak,..0.342294159
WNDFRM,all,all,summer.evening,..0.202674173
WNDFRM,all,all,autumn.night,..0.3513019
WNDFRM,all,all,autumn.day,..0.460745954
WNDFRM,all,all,autumn.peak,..0.396340605
WNDFRM,all,all,autumn.evening,..0.364813512
RGASBR,all,all,winter.night,0.252434260..0.252434262
RGASBR,all,all,winter.day,0.610113536..0.610113538
RGASBR,all,all,winter.peak,1.0..
RGASBR,all,all,winter.evening,0.517234386..0.517234388
RGASBR,all,all,peak.night,0.17683616..0.17683618
RGASBR,all,all,peak.day,0.329104871..0.329104873
RGASBR,all,all,peak.peak,0.612730532..0.612730534
RGASBR,all,all,peak.evening,0.278785847..0.278785849
RGASBR,all,all,summer.night,0.021961905..0.021961907
RGASBR,all,all,summer.day,0.025613844..0.025613846
RGASBR,all,all,summer.peak,0.028115287..0.028115289
RGASBR,all,all,summer.evening,0.01570055..0.01570057
RGASBR,all,all,autumn.night,0.143637585..0.143637587
RGASBR,all,all,autumn.day,0.264623925..0.264623927
RGASBR,all,all,autumn.peak,0.49011444..0.49011446
RGASBR,all,all,autumn.evening,0.220020000..0.220020002
RELCHP,all,all,winter.night,0.252434260..0.252434262
RELCHP,all,all,winter.day,0.610113536..0.610113538
RELCHP,all,all,winter.peak,1.0..
RELCHP,all,all,winter.evening,0.517234386..0.517234388
RELCHP,all,all,peak.night,0.17683616..0.17683618
RELCHP,all,all,peak.day,0.329104871..0.329104873
RELCHP,all,all,peak.peak,0.612730532..0.612730534
RELCHP,all,all,peak.evening,0.278785847..0.278785849
RELCHP,all,all,summer.night,0.021961905..0.021961907
RELCHP,all,all,summer.day,0.025613844..0.025613846
RELCHP,all,all,summer.peak,0.028115287..0.028115289
RELCHP,all,all,summer.evening,0.01570055..0.01570057
RELCHP,all,all,autumn.night,0.143637585..0.143637587
RELCHP,all,all,autumn.day,0.264623925..0.264623927
RELCHP,all,all,autumn.peak,0.49011444..0.49011446
RELCHP,all,all,autumn.evening,0.220020000..0.220020002
RBIOBL,all,all,winter.night,0.252434261..0.252434261
RBIOBL,all,all,winter.day,0.610113536..0.610113538
RBIOBL,all,all,winter.peak,1.0..
RBIOBL,all,all,winter.evening,0.517234386..0.517234388
RBIOBL,all,all,peak.night,0.17683616..0.17683618
RBIOBL,all,all,peak.day,0.329104871..0.329104873
RBIOBL,all,all,peak.peak,0.612730532..0.612730534
RBIOBL,all,all,peak.evening,0.278785847..0.278785849
RBIOBL,all,all,summer.night,0.021961905..0.021961907
RBIOBL,all,all,summer.day,0.025613844..0.025613846
RBIOBL,all,all,summer.peak,0.028115287..0.028115289
RBIOBL,all,all,summer.evening,0.01570055..0.01570057
RBIOBL,all,all,autumn.night,0.143637585..0.143637587
RBIOBL,all,all,autumn.day,0.264623925..0.264623927
RBIOBL,all,all,autumn.peak,0.49011444..0.49011446
RBIOBL,all,all,autumn.evening,0.220020000..0.220020002
